year,month,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
1958,3,5.453,0.084,11.321,0.173,-0.549,0.202,14.547,0.069
1958,4,8.52,0.103,14.392,0.157,2.57,0.083,15.359,0.073
1958,5,11.519,0.089,17.355,0.185,5.625,0.286,16.18,0.073
1958,6,13.187,0.106,19.028,0.177,7.427,0.14,16.619,0.074
1958,7,14.438,0.199,20.121,0.212,8.839,0.305,17.039,0.093
1958,8,13.597,0.082,19.399,0.145,8.048,0.103,16.832,0.07
1958,9,11.845,0.072,17.549,0.15,6.204,0.126,16.284,0.074
1958,10,9.375,0.092,15.094,0.105,3.742,0.197,15.437,0.074
1958,11,6.26,0.06,11.718,0.12,0.746,0.121,14.507,0.067
1958,12,3.822,0.078,9.23,0.211,-1.557,0.118,13.829,0.07
1959,1,2.959,0.077,8.39,0.145,-2.406,0.154,13.636,0.069
1959,2,3.33,0.126,9.004,0.136,-2.225,0.129,13.873,0.072
1959,3,5.854,0.199,11.728,0.157,-0.071,0.125,14.612,0.088
1959,4,8.819,0.179,14.752,0.27,2.807,0.201,15.439,0.082
1959,5,11.323,0.062,17.164,0.139,5.536,0.172,16.122,0.071
1959,6,13.577,0.063,19.379,0.186,7.748,0.12,16.776,0.07
1959,7,14.449,0.131,20.236,0.098,8.854,0.131,17.002,0.082
1959,8,13.853,0.084,19.532,0.135,8.321,0.081,16.908,0.068
1959,9,11.946,0.118,17.663,0.132,6.344,0.149,16.278,0.074
1959,10,9.16,0.115,14.767,0.076,3.586,0.233,15.405,0.076
1959,11,5.752,0.077,11.261,0.169,0.302,0.119,14.272,0.068
1959,12,3.77,0.055,9.122,0.158,-1.493,0.176,13.763,0.067
1960,1,2.713,0.086,8.222,0.113,-2.623,0.085,13.553,0.067
1960,2,3.798,0.125,9.748,0.081,-1.92,0.274,13.956,0.07
1960,3,4.303,0.077,10.216,0.092,-1.677,0.084,14.145,0.066
1960,4,8.133,0.088,13.955,0.137,2.229,0.104,15.19,0.066
1960,5,10.872,0.156,16.71,0.256,5.044,0.235,15.956,0.079
1960,6,13.484,0.08,19.306,0.227,7.729,0.105,16.67,0.071
1960,7,14.198,0.072,19.884,0.125,8.492,0.094,16.985,0.07
1960,8,13.825,0.079,19.604,0.177,8.242,0.165,16.969,0.069
1960,9,12.095,0.099,17.856,0.226,6.498,0.146,16.382,0.069
1960,10,9.497,0.063,15.235,0.089,3.8,0.118,15.456,0.068
1960,11,5.828,0.141,11.433,0.126,0.355,0.149,14.313,0.073
1960,12,4.259,0.056,9.64,0.144,-0.978,0.092,13.928,0.064
1961,1,2.926,0.089,8.38,0.176,-2.383,0.129,13.664,0.064
1961,2,3.683,0.125,9.299,0.156,-1.895,0.145,14.058,0.067
1961,3,5.589,0.049,11.478,0.119,-0.271,0.121,14.609,0.062
1961,4,8.631,0.116,14.497,0.162,2.817,0.153,15.444,0.068
1961,5,11.624,0.104,17.592,0.319,5.729,0.227,16.241,0.071
1961,6,13.702,0.154,19.598,0.239,7.796,0.286,16.81,0.079
1961,7,14.288,0.079,20.014,0.184,8.664,0.186,16.987,0.071
1961,8,13.849,0.142,19.606,0.179,8.23,0.259,16.917,0.072
1961,9,12.247,0.069,17.987,0.121,6.525,0.143,16.309,0.063
1961,10,9.328,0.138,15.057,0.136,3.508,0.313,15.401,0.071
1961,11,6.205,0.06,11.655,0.093,0.74,0.134,14.437,0.059
1961,12,3.5,0.039,9.016,0.105,-1.915,0.085,13.682,0.059
1962,1,3.003,0.075,8.657,0.094,-2.509,0.083,13.655,0.06
1962,2,3.696,0.064,9.547,0.099,-2.045,0.216,14.003,0.059
1962,3,5.53,0.128,11.537,0.159,-0.416,0.218,14.522,0.069
1962,4,8.54,0.178,14.473,0.138,2.576,0.23,15.353,0.076
1962,5,11.128,0.062,17.04,0.152,5.195,0.131,16.041,0.068
1962,6,13.427,0.267,19.35,0.272,7.456,0.371,16.679,0.099
1962,7,14.205,0.074,20.054,0.143,8.451,0.077,16.952,0.068
1962,8,13.713,0.103,19.553,0.153,7.941,0.128,16.83,0.065
1962,9,12.018,0.255,17.845,0.159,6.313,0.313,16.246,0.094
1962,10,9.468,0.202,15.226,0.198,3.774,0.323,15.429,0.084
1962,11,6.283,0.119,11.775,0.142,0.797,0.207,14.421,0.067
1962,12,3.94,0.068,9.425,0.198,-1.43,0.156,13.776,0.061
1963,1,2.901,0.08,8.671,0.143,-2.679,0.122,13.594,0.063
1963,2,4.02,0.108,9.95,0.096,-1.685,0.115,14.014,0.064
1963,3,5.097,0.102,11.043,0.101,-0.895,0.226,14.357,0.063
1963,4,8.173,0.058,13.914,0.149,2.35,0.1,15.216,0.059
1963,5,11.045,0.102,16.819,0.252,5.234,0.295,16.05,0.069
1963,6,13.412,0.097,19.276,0.124,7.604,0.15,16.675,0.068
1963,7,14.506,0.098,20.229,0.104,8.797,0.243,17.089,0.077
1963,8,14.309,0.061,20.009,0.218,8.471,0.25,17.061,0.07
1963,9,12.555,0.126,18.306,0.182,6.724,0.347,16.48,0.075
1963,10,9.943,0.099,15.716,0.165,4.326,0.109,15.587,0.074
1963,11,6.561,0.095,12.068,0.205,1.31,0.161,14.58,0.07
1963,12,3.75,0.082,9.346,0.094,-1.666,0.071,13.817,0.068
1964,1,2.881,0.171,8.384,0.079,-2.549,0.161,13.595,0.076
1964,2,3.028,0.116,8.791,0.078,-2.613,0.161,13.73,0.064
1964,3,4.865,0.076,10.97,0.123,-1.152,0.183,14.256,0.062
1964,4,7.922,0.077,13.794,0.125,2.152,0.145,15.062,0.063
1964,5,10.905,0.084,16.801,0.221,5.202,0.139,15.856,0.066
1964,6,13.459,0.068,19.275,0.161,7.536,0.24,16.591,0.064
1964,7,14.301,0.125,20.065,0.196,8.572,0.15,16.784,0.073
1964,8,13.678,0.178,19.386,0.241,8.05,0.305,16.634,0.078
1964,9,11.604,0.065,17.394,0.173,6.11,0.142,16.002,0.06
1964,10,8.832,0.063,14.654,0.191,3.218,0.097,15.171,0.061
1964,11,5.983,0.041,11.609,0.14,0.483,0.082,14.202,0.056
1964,12,3.458,0.046,8.759,0.148,-1.783,0.079,13.522,0.059
1965,1,2.862,0.069,8.418,0.107,-2.526,0.133,13.545,0.061
1965,2,3.036,0.084,8.907,0.078,-2.822,0.187,13.698,0.061
1965,3,5.182,0.125,11.22,0.146,-0.735,0.224,14.285,0.068
1965,4,7.99,0.078,13.841,0.14,2.168,0.123,15.095,0.061
1965,5,11.222,0.174,17.168,0.32,5.262,0.456,16.007,0.079
1965,6,13.308,0.223,19.126,0.518,7.483,0.336,16.532,0.087
1965,7,14.078,0.139,19.869,0.242,8.376,0.348,16.762,0.076
1965,8,13.807,0.086,19.583,0.097,8.184,0.102,16.803,0.065
1965,9,11.73,0.083,17.407,0.168,6.096,0.132,16.154,0.064
1965,10,9.488,0.07,15.11,0.105,3.8,0.09,15.406,0.063
1965,11,5.86,0.076,11.337,0.184,0.354,0.145,14.287,0.06
1965,12,3.766,0.099,9.235,0.109,-1.543,0.066,13.775,0.062
1966,1,2.49,0.059,8.049,0.069,-3.041,0.098,13.495,0.057
1966,2,3.29,0.111,9.005,0.132,-2.421,0.151,13.81,0.062
1966,3,5.527,0.125,11.296,0.119,-0.42,0.16,14.445,0.066
1966,4,8.161,0.068,13.951,0.104,2.331,0.106,15.254,0.059
1966,5,11.2,0.064,17.07,0.213,5.189,0.171,15.987,0.061
1966,6,13.587,0.161,19.378,0.251,7.723,0.175,16.693,0.076
1966,7,14.569,0.112,20.392,0.1,8.823,0.126,17.033,0.07
1966,8,13.731,0.101,19.627,0.205,8.087,0.111,16.826,0.068
1966,9,12.133,0.107,18.028,0.085,6.482,0.135,16.273,0.069
1966,10,9.153,0.073,14.777,0.081,3.555,0.112,15.315,0.061
1966,11,5.969,0.074,11.58,0.084,0.412,0.134,14.362,0.058
1966,12,3.382,0.052,8.758,0.084,-1.927,0.13,13.683,0.057
1967,1,2.71,0.07,8.395,0.062,-2.869,0.14,13.527,0.055
1967,2,2.905,0.126,8.619,0.156,-2.772,0.159,13.688,0.064
1967,3,5.396,0.079,11.222,0.107,-0.356,0.075,14.465,0.057
1967,4,8.458,0.11,14.376,0.146,2.5,0.228,15.3,0.061
1967,5,11.632,0.077,17.505,0.172,5.784,0.167,16.279,0.061
1967,6,13.194,0.071,18.911,0.145,7.445,0.152,16.665,0.057
1967,7,14.331,0.169,20.142,0.153,8.706,0.142,16.97,0.078
1967,8,13.821,0.107,19.593,0.242,8.172,0.245,16.84,0.064
1967,9,12.054,0.058,17.852,0.107,6.269,0.166,16.244,0.06
1967,10,9.809,0.045,15.479,0.08,4.178,0.086,15.469,0.056
1967,11,6.176,0.042,11.505,0.085,0.808,0.147,14.353,0.048
1967,12,3.915,0.05,9.279,0.056,-1.42,0.114,13.73,0.05
1968,1,2.353,0.094,7.867,0.102,-3.062,0.075,13.389,0.054
1968,2,3.245,0.124,8.88,0.098,-2.319,0.082,13.724,0.059
1968,3,6.117,0.069,11.907,0.126,0.285,0.068,14.581,0.052
1968,4,8.455,0.143,14.427,0.115,2.596,0.281,15.261,0.064
1968,5,11.068,0.111,16.76,0.16,5.176,0.201,15.99,0.062
1968,6,13.204,0.187,18.873,0.16,7.318,0.213,16.696,0.073
1968,7,14.026,0.089,19.734,0.137,8.431,0.105,16.887,0.058
1968,8,13.524,0.08,19.238,0.079,7.892,0.14,16.794,0.057
1968,9,11.62,0.19,17.348,0.223,5.942,0.152,16.155,0.076
1968,10,9.453,0.138,15.086,0.127,3.787,0.263,15.481,0.066
1968,11,5.891,0.062,11.3,0.105,0.357,0.135,14.418,0.051
1968,12,3.24,0.053,8.551,0.135,-2.116,0.103,13.791,0.05
1969,1,1.966,0.053,7.229,0.091,-3.298,0.116,13.518,0.048
1969,2,2.45,0.092,7.969,0.126,-3.191,0.151,13.747,0.052
1969,3,5.131,0.106,11.018,0.106,-0.824,0.213,14.576,0.056
1969,4,8.576,0.125,14.286,0.201,2.69,0.237,15.518,0.062
1969,5,11.354,0.077,17.064,0.157,5.565,0.241,16.329,0.053
1969,6,13.475,0.119,19.208,0.256,7.568,0.34,16.83,0.062
1969,7,14.218,0.109,20.024,0.226,8.666,0.163,16.924,0.059
1969,8,13.804,0.08,19.628,0.16,8.124,0.224,16.945,0.056
1969,9,12.048,0.057,17.67,0.112,6.421,0.141,16.337,0.053
1969,10,9.489,0.065,14.888,0.155,4.05,0.269,15.445,0.056
1969,11,6.42,0.053,11.974,0.125,0.923,0.141,14.524,0.051
1969,12,4.21,0.086,9.587,0.103,-1.139,0.113,13.993,0.054
1970,1,2.836,0.084,8.288,0.117,-2.584,0.099,13.711,0.052
1970,2,3.735,0.082,9.543,0.108,-2.02,0.127,14.022,0.053
1970,3,5.272,0.114,11.066,0.18,-0.545,0.211,14.503,0.058
1970,4,8.603,0.066,14.383,0.179,2.739,0.113,15.44,0.051
1970,5,11.206,0.099,17.165,0.121,5.402,0.107,16.104,0.055
1970,6,13.513,0.086,19.368,0.203,7.599,0.189,16.672,0.056
1970,7,14.395,0.1,20.254,0.114,8.723,0.099,16.912,0.058
1970,8,13.658,0.062,19.43,0.179,8.097,0.122,16.748,0.052
1970,9,12.277,0.063,17.879,0.089,6.62,0.124,16.335,0.055
1970,10,9.348,0.042,14.96,0.089,3.787,0.103,15.42,0.051
1970,11,6.047,0.059,11.562,0.109,0.524,0.082,14.418,0.05
1970,12,3.521,0.05,8.941,0.094,-1.829,0.084,13.707,0.048
1971,1,2.967,0.101,8.531,0.122,-2.531,0.125,13.615,0.054
1971,2,2.867,0.17,8.579,0.145,-2.723,0.199,13.627,0.067
1971,3,5.001,0.063,10.967,0.154,-0.896,0.11,14.254,0.049
1971,4,8.339,0.067,14.267,0.09,2.516,0.251,15.227,0.049
1971,5,11.211,0.112,17.186,0.12,5.384,0.159,15.963,0.058
1971,6,13.099,0.104,18.992,0.227,7.436,0.126,16.539,0.059
1971,7,14.139,0.106,19.984,0.142,8.511,0.125,16.846,0.061
1971,8,13.879,0.076,19.593,0.122,8.086,0.082,16.752,0.056
1971,9,12.139,0.129,17.918,0.317,6.463,0.303,16.22,0.062
1971,10,9.388,0.106,15.146,0.127,3.809,0.16,15.298,0.056
1971,11,6.295,0.076,11.842,0.112,0.931,0.131,14.399,0.052
1971,12,3.867,0.065,9.228,0.118,-1.439,0.126,13.66,0.051
1972,1,1.882,0.086,7.392,0.143,-3.549,0.205,13.298,0.053
1972,2,2.609,0.105,8.219,0.113,-3.115,0.199,13.644,0.054
1972,3,5.287,0.05,11.169,0.087,-0.672,0.152,14.446,0.048
1972,4,8.337,0.067,14.148,0.123,2.498,0.11,15.291,0.051
1972,5,11.155,0.091,16.968,0.125,5.361,0.196,16.095,0.058
1972,6,13.501,0.113,19.231,0.156,7.627,0.127,16.729,0.061
1972,7,14.231,0.118,20.037,0.123,8.568,0.104,16.956,0.063
1972,8,14.171,0.096,19.88,0.154,8.386,0.19,16.978,0.057
1972,9,11.901,0.126,17.529,0.2,6.166,0.217,16.27,0.061
1972,10,9.346,0.141,15.057,0.198,3.84,0.232,15.438,0.064
1972,11,5.797,0.079,11.167,0.094,0.52,0.129,14.419,0.05
1972,12,3.778,0.072,9.182,0.181,-1.492,0.084,13.951,0.05
1973,1,3.038,0.092,8.492,0.152,-2.308,0.104,13.774,0.052
1973,2,3.898,0.161,9.496,0.135,-1.654,0.087,14.14,0.064
1973,3,5.82,0.096,11.605,0.212,0.109,0.142,14.663,0.052
1973,4,8.938,0.103,14.51,0.108,3.107,0.106,15.528,0.055
1973,5,11.769,0.082,17.417,0.158,5.926,0.164,16.288,0.053
1973,6,13.824,0.085,19.497,0.126,8.155,0.122,16.795,0.052
1973,7,14.435,0.129,20.112,0.093,8.989,0.11,17.002,0.061
1973,8,13.869,0.151,19.707,0.149,8.427,0.133,16.889,0.062
1973,9,12.125,0.081,17.815,0.168,6.504,0.102,16.267,0.054
1973,10,9.609,0.064,15.182,0.111,3.913,0.095,15.419,0.053
1973,11,6.222,0.083,11.667,0.052,0.788,0.202,14.381,0.05
1973,12,3.832,0.082,9.292,0.111,-1.514,0.073,13.711,0.051
1974,1,2.261,0.096,7.464,0.109,-2.894,0.096,13.3,0.052
1974,2,2.582,0.127,8.118,0.093,-2.926,0.074,13.49,0.057
1974,3,5.19,0.114,10.966,0.134,-0.495,0.098,14.267,0.054
1974,4,8.386,0.091,14.179,0.078,2.59,0.117,15.182,0.053
1974,5,11.198,0.087,16.932,0.121,5.47,0.093,15.957,0.053
1974,6,13.382,0.131,19.235,0.099,7.591,0.085,16.616,0.063
1974,7,14.288,0.059,19.925,0.128,8.654,0.109,16.846,0.053
1974,8,14.016,0.105,19.652,0.158,8.391,0.13,16.912,0.06
1974,9,11.744,0.135,17.43,0.18,6.14,0.22,16.197,0.065
1974,10,9.098,0.059,14.884,0.079,3.423,0.112,15.274,0.051
1974,11,5.915,0.123,11.459,0.138,0.389,0.163,14.32,0.057
1974,12,3.55,0.127,8.739,0.155,-1.522,0.126,13.656,0.057
1975,1,3.059,0.078,8.484,0.071,-2.257,0.121,13.621,0.051
1975,2,3.395,0.107,9.026,0.133,-2.096,0.095,13.857,0.053
1975,3,5.706,0.07,11.384,0.103,-0.15,0.098,14.538,0.048
1975,4,8.584,0.066,14.399,0.066,2.882,0.088,15.297,0.049
1975,5,11.742,0.087,17.484,0.198,5.842,0.145,16.136,0.054
1975,6,13.557,0.109,19.275,0.161,7.796,0.197,16.682,0.057
1975,7,14.351,0.096,20.051,0.18,8.637,0.141,16.877,0.059
1975,8,13.514,0.219,19.248,0.244,7.892,0.107,16.665,0.079
1975,9,12.152,0.127,17.804,0.115,6.54,0.096,16.216,0.061
1975,10,9.318,0.064,14.908,0.154,3.671,0.215,15.292,0.053
1975,11,5.893,0.056,11.462,0.086,0.332,0.127,14.126,0.049
1975,12,3.667,0.086,9.079,0.088,-1.636,0.103,13.557,0.051
1976,1,2.884,0.068,8.398,0.079,-2.452,0.11,13.442,0.05
1976,2,3.031,0.069,8.509,0.104,-2.443,0.094,13.619,0.05
1976,3,4.517,0.06,10.305,0.082,-1.204,0.082,14.124,0.049
1976,4,8.294,0.086,14.177,0.132,2.489,0.106,15.135,0.053
1976,5,10.942,0.163,16.728,0.149,5.176,0.108,15.778,0.067
1976,6,13.086,0.103,18.954,0.173,7.345,0.13,16.448,0.06
1976,7,14.155,0.18,19.852,0.245,8.349,0.221,16.864,0.073
1976,8,13.511,0.17,19.163,0.234,7.646,0.222,16.671,0.072
1976,9,11.895,0.053,17.74,0.079,6.197,0.1,16.185,0.056
1976,10,8.511,0.111,14.028,0.253,3.113,0.22,15.167,0.059
1976,11,5.66,0.062,11.156,0.124,0.302,0.164,14.299,0.05
1976,12,3.681,0.082,9.086,0.155,-1.708,0.16,13.841,0.05
1977,1,2.492,0.087,7.764,0.197,-2.648,0.16,13.647,0.05
1977,2,3.471,0.12,9.135,0.088,-2.152,0.145,14.001,0.056
1977,3,5.702,0.11,11.581,0.123,-0.035,0.168,14.639,0.055
1977,4,8.85,0.064,14.751,0.092,3.058,0.081,15.47,0.049
1977,5,11.78,0.133,17.594,0.163,6.009,0.227,16.286,0.061
1977,6,13.876,0.11,19.628,0.173,8.058,0.184,16.846,0.056
1977,7,14.631,0.111,20.327,0.122,8.971,0.206,17.047,0.06
1977,8,14.09,0.078,19.673,0.162,8.464,0.134,16.979,0.053
1977,9,11.862,0.065,17.535,0.073,6.35,0.111,16.312,0.054
1977,10,9.156,0.041,14.875,0.106,3.586,0.09,15.387,0.049
1977,11,6.544,0.062,11.962,0.101,1.259,0.07,14.544,0.048
1977,12,3.749,0.035,9.001,0.1,-1.385,0.139,13.741,0.045
1978,1,2.705,0.095,8.006,0.078,-2.52,0.078,13.587,0.054
1978,2,3.456,0.137,9.006,0.2,-2.149,0.2,13.904,0.06
1978,3,5.607,0.097,11.344,0.055,-0.074,0.174,14.555,0.052
1978,4,8.791,0.088,14.628,0.344,3.084,0.416,15.372,0.05
1978,5,11.414,0.139,17.131,0.236,5.723,0.314,16.101,0.061
1978,6,13.22,0.106,18.891,0.164,7.715,0.213,16.601,0.057
1978,7,14.364,0.158,19.911,0.132,8.894,0.237,16.935,0.067
1978,8,13.297,0.099,18.974,0.155,7.681,0.173,16.623,0.056
1978,9,12.03,0.096,17.64,0.164,6.431,0.127,16.281,0.058
1978,10,9.339,0.082,14.964,0.145,3.803,0.15,15.337,0.054
1978,11,6.35,0.081,11.685,0.112,1.08,0.126,14.522,0.05
1978,12,3.74,0.068,9.195,0.085,-1.617,0.093,13.793,0.047
1979,1,2.679,0.083,8.071,0.125,-2.625,0.1,13.63,0.048
1979,2,2.841,0.089,8.525,0.076,-2.759,0.147,13.768,0.047
1979,3,5.474,0.102,11.331,0.187,-0.129,0.272,14.565,0.051
1979,4,8.455,0.078,14.273,0.258,2.623,0.303,15.391,0.046
1979,5,11.199,0.149,17.139,0.198,5.712,0.212,16.076,0.058
1979,6,13.487,0.067,19.366,0.213,7.818,0.215,16.772,0.043
1979,7,14.114,0.054,19.945,0.109,8.491,0.117,16.992,0.042
1979,8,13.833,0.087,19.623,0.16,8.266,0.181,16.978,0.046
1979,9,12.247,0.091,18.059,0.18,6.714,0.24,16.45,0.048
1979,10,9.586,0.09,15.354,0.116,4.054,0.125,15.557,0.049
1979,11,6.286,0.079,11.807,0.13,0.905,0.051,14.609,0.047
1979,12,4.6,0.068,10,0.115,-0.669,0.051,14.182,0.045
1980,1,2.956,0.087,8.468,0.08,-2.457,0.124,13.812,0.049
1980,2,3.652,0.099,9.26,0.129,-1.864,0.115,14.112,0.05
1980,3,5.367,0.103,11.24,0.16,-0.379,0.126,14.646,0.052
1980,4,8.935,0.106,14.821,0.129,3.109,0.175,15.578,0.052
1980,5,11.77,0.089,17.713,0.234,6.131,0.172,16.314,0.05
1980,6,13.582,0.134,19.375,0.185,7.901,0.299,16.806,0.058
1980,7,14.742,0.144,20.466,0.179,9.102,0.214,17.171,0.06
1980,8,14.189,0.221,19.814,0.117,8.563,0.089,17.049,0.077
1980,9,12.321,0.08,18.121,0.152,6.642,0.146,16.427,0.051
1980,10,9.55,0.064,15.17,0.118,4.051,0.112,15.45,0.048
1980,11,6.684,0.094,12.196,0.183,1.334,0.143,14.645,0.051
1980,12,4.016,0.059,9.431,0.165,-1.277,0.086,13.892,0.046
1981,1,3.785,0.121,9.267,0.193,-1.298,0.153,13.963,0.055
1981,2,4.021,0.139,9.689,0.133,-1.41,0.119,14.073,0.059
1981,3,6.239,0.035,12.05,0.063,0.554,0.161,14.769,0.045
1981,4,8.953,0.08,14.817,0.206,3.131,0.25,15.432,0.05
1981,5,11.565,0.084,17.471,0.33,5.901,0.345,16.198,0.049
1981,6,13.765,0.122,19.611,0.126,8.065,0.148,16.932,0.058
1981,7,14.738,0.082,20.398,0.122,9.208,0.132,17.217,0.054
1981,8,14.502,0.099,20.293,0.092,8.977,0.081,17.123,0.055
1981,9,12.236,0.118,17.95,0.098,6.646,0.139,16.466,0.058
1981,10,9.394,0.059,14.979,0.096,3.765,0.066,15.453,0.05
1981,11,6.273,0.058,11.669,0.114,0.97,0.099,14.47,0.047
1981,12,4.519,0.05,10.068,0.094,-0.878,0.076,14.098,0.048
1982,1,2.558,0.08,8.09,0.13,-2.777,0.097,13.587,0.053
1982,2,3.281,0.077,8.843,0.076,-2.075,0.07,13.852,0.053
1982,3,4.873,0.087,10.667,0.139,-0.722,0.137,14.337,0.054
1982,4,8.465,0.093,14.388,0.223,2.89,0.433,15.33,0.054
1982,5,11.348,0.09,17.149,0.305,5.727,0.283,16.144,0.054
1982,6,13.245,0.071,19.083,0.234,7.556,0.251,16.625,0.053
1982,7,14.545,0.073,20.311,0.301,9.019,0.397,17,0.058
1982,8,13.796,0.067,19.534,0.166,8.465,0.217,16.867,0.054
1982,9,12.039,0.067,17.75,0.155,6.675,0.213,16.354,0.055
1982,10,9.232,0.066,14.845,0.129,3.917,0.139,15.493,0.054
1982,11,5.961,0.111,11.314,0.117,0.909,0.184,14.446,0.057
1982,12,4.327,0.11,9.637,0.077,-0.705,0.064,14.068,0.058
1983,1,3.445,0.115,8.747,0.084,-1.65,0.08,13.979,0.057
1983,2,3.814,0.173,9.427,0.088,-1.592,0.085,14.169,0.068
1983,3,5.699,0.09,11.503,0.055,0.097,0.091,14.683,0.053
1983,4,8.693,0.05,14.45,0.092,3.053,0.134,15.468,0.048
1983,5,11.729,0.106,17.477,0.136,6.144,0.187,16.34,0.056
1983,6,13.478,0.124,19.217,0.147,7.819,0.17,16.786,0.061
1983,7,14.408,0.07,20.139,0.138,8.829,0.115,17.068,0.054
1983,8,14.302,0.061,20.105,0.177,8.729,0.1,17.145,0.052
1983,9,12.698,0.098,18.412,0.093,7.08,0.16,16.573,0.059
1983,10,9.478,0.096,15.097,0.088,4.011,0.155,15.498,0.058
1983,11,6.765,0.091,12.334,0.151,1.421,0.134,14.648,0.054
1983,12,3.829,0.054,9.25,0.127,-1.312,0.08,13.886,0.05
1984,1,2.941,0.081,8.338,0.111,-2.235,0.085,13.701,0.052
1984,2,3.093,0.101,8.786,0.136,-2.452,0.169,13.878,0.056
1984,3,5.671,0.084,11.541,0.1,-0.078,0.06,14.608,0.056
1984,4,8.432,0.163,14.335,0.23,2.608,0.209,15.37,0.068
1984,5,11.976,0.061,17.86,0.115,6.211,0.138,16.295,0.052
1984,6,13.387,0.191,19.05,0.127,7.662,0.167,16.668,0.073
1984,7,14.429,0.137,20.109,0.075,8.958,0.191,16.961,0.063
1984,8,13.984,0.085,19.83,0.235,8.33,0.151,16.972,0.054
1984,9,12.015,0.074,17.718,0.098,6.5,0.096,16.385,0.053
1984,10,9.378,0.082,14.891,0.066,4.015,0.101,15.368,0.054
1984,11,5.811,0.106,11.243,0.166,0.602,0.088,14.32,0.055
1984,12,3.185,0.066,8.411,0.15,-1.88,0.109,13.604,0.05
1985,1,3.01,0.082,8.385,0.122,-2.22,0.063,13.678,0.052
1985,2,2.704,0.085,8.322,0.117,-2.853,0.08,13.731,0.051
1985,3,5.451,0.06,11.194,0.087,-0.133,0.086,14.526,0.05
1985,4,8.633,0.085,14.421,0.085,2.905,0.113,15.356,0.054
1985,5,11.426,0.066,17.203,0.117,5.756,0.119,16.136,0.05
1985,6,13.569,0.187,19.396,0.24,7.908,0.146,16.713,0.07
1985,7,13.973,0.087,19.711,0.113,8.362,0.141,16.906,0.051
1985,8,14.059,0.087,19.757,0.113,8.515,0.092,17.013,0.05
1985,9,11.98,0.08,17.634,0.138,6.482,0.135,16.357,0.054
1985,10,9.338,0.089,14.808,0.048,4.051,0.099,15.476,0.054
1985,11,5.968,0.104,11.331,0.102,0.703,0.107,14.388,0.055
1985,12,3.785,0.107,9.044,0.154,-1.368,0.084,13.808,0.056
1986,1,3.315,0.117,8.818,0.071,-2.011,0.076,13.724,0.057
1986,2,3.991,0.113,9.699,0.202,-1.637,0.092,14.084,0.056
1986,3,5.755,0.048,11.629,0.077,0.015,0.055,14.608,0.049
1986,4,8.871,0.086,14.772,0.206,3.105,0.062,15.452,0.054
1986,5,11.581,0.066,17.393,0.108,5.889,0.178,16.163,0.049
1986,6,13.439,0.06,19.211,0.191,7.72,0.192,16.696,0.05
1986,7,14.293,0.06,19.987,0.1,8.739,0.115,16.991,0.05
1986,8,13.972,0.059,19.874,0.099,8.433,0.141,16.938,0.05
1986,9,11.817,0.143,17.713,0.106,6.395,0.274,16.285,0.063
1986,10,9.299,0.096,14.803,0.148,3.881,0.157,15.455,0.054
1986,11,5.919,0.1,11.232,0.063,0.702,0.092,14.407,0.055
1986,12,3.751,0.072,9.071,0.075,-1.399,0.105,13.805,0.052
1987,1,3.139,0.115,8.701,0.082,-2.344,0.109,13.758,0.058
